w,mag_db,phase_deg
1.000000000000000056e-01,4.022032363326808024e+01,-9.446843577009943260e+01
1.010052636646537882e-01,3.968204478625733600e+01,-9.665093745926665747e+01
1.020206328796623013e-01,4.002873779636672680e+01,-9.593422418517178585e+01
1.030462092324513773e-01,3.918722378544310914e+01,-9.356935357473506087e+01
1.040820953316683312e-01,3.990363663748946266e+01,-9.323850862643908499e+01
1.051283948174479010e-01,3.866628327572032475e+01,-9.520504413443907765e+01
1.061852123717814816e-01,3.961357506069862922e+01,-9.603132095756782860e+01
1.072526537289904547e-01,3.942342188489961075e+01,-9.577879784642463790e+01
1.083308256863049490e-01,3.931704980773338320e+01,-9.578516652418203137e+01
1.094198361145487935e-01,3.933740192457271689e+01,-9.503112681586931387e+01
1.105197939689320785e-01,3.972629298017667310e+01,-9.270831747043854421e+01
1.116308092999519774e-01,3.947130316927356120e+01,-9.510906167469335060e+01
1.127529932644033561e-01,3.925197492165104762e+01,-9.365857301037473803e+01
1.138864581364999323e-01,3.832910242393741385e+01,-9.442774305721829364e+01
1.150313173191073179e-01,3.939616609363113753e+01,-9.582830774435203125e+01
1.161876853550889016e-01,3.824056325658163757e+01,-9.555577356631948760e+01
1.173556779387658761e-01,3.797352312672846608e+01,-9.524267884907580139e+01
1.185354119274924095e-01,3.942832106600840092e+01,-9.455556437830847472e+01
1.197270053533471823e-01,3.786829771942425538e+01,-9.570033761052127375e+01
1.209305774349424684e-01,3.847144934798333082e+01,-1.010999019408193647e+02
1.221462485893519551e-01,3.806353136752719735e+01,-9.245459482141649232e+01
1.233741404441583978e-01,3.861063357112886507e+01,-9.332543764005114895e+01
1.246143758496224552e-01,3.856718047514280556e+01,-9.410127705994715086e+01
1.258670788909738159e-01,3.786412330868041209e+01,-9.876762086994220624e+01
1.271323749008258785e-01,3.767201897540640232e+01,-9.623231632547812353e+01
1.284103904717153188e-01,3.729012345834764375e+01,-9.394705700642025192e+01
1.297012534687675134e-01,3.701063537654327007e+01,-9.591526688142842261e+01
1.310050930424895566e-01,3.816739498432468025e+01,-9.569775629952304996e+01
1.323220396416915912e-01,3.774947151767834441e+01,-9.798643524672922922e+01
1.336522250265383127e-01,3.719084410128264295e+01,-9.287380714075909793e+01
1.349957822817313968e-01,3.719377619758249409e+01,-9.353175298908978164e+01
1.363528458298247925e-01,3.671814186078492526e+01,-9.545728142561139862e+01
1.377235514446733811e-01,3.776273465371373561e+01,-9.641465133837965595e+01
1.391080362650174984e-01,3.727975710158253975e+01,-9.561607685962948722e+01
1.405064388082030991e-01,3.723166973993917850e+01,-9.728367231495521139e+01
1.419188989840410031e-01,3.688160014830604894e+01,-9.698331511310686892e+01
1.433455581088042274e-01,3.705105946781115023e+01,-9.593375516728734453e+01
1.447865589193672586e-01,3.704439578945390821e+01,-9.765468196538431300e+01
1.462420455874861580e-01,3.718609849911965171e+01,-9.411179864943282780e+01
1.477121637342236338e-01,3.729692379775399758e+01,-9.432449858372550011e+01
1.491970604445176374e-01,3.606738565905276772e+01,-9.626106533630745332e+01
1.506968842818979804e-01,3.649644595235089639e+01,-9.441729844434615870e+01
1.522117853033492507e-01,3.557033234603343885e+01,-9.775170454981100931e+01
1.537419150743246643e-01,3.558577318375349563e+01,-9.546874272720526733e+01
1.552874266839097128e-01,3.678160833394812101e+01,-1.003671692699521714e+02
1.568484747601389673e-01,3.567435571256238802e+01,-9.434820509324201510e+01
1.584252154854662864e-01,3.595226511985312357e+01,-9.767212615024725153e+01
1.600178066123911502e-01,3.638394101753810617e+01,-9.450549962246859081e+01
1.616264074792414795e-01,3.598735894270061664e+01,-9.858741279384236122e+01
1.632511790261155782e-01,3.585377225009794699e+01,-9.697766763406828261e+01
1.648922838109840028e-01,3.574829804780242881e+01,-9.435901702974994976e+01
1.665498860259536362e-01,3.408166377982958295e+01,-9.803257191764673451e+01
1.682241515136948251e-01,3.517507054713097858e+01,-1.000698095666879937e+02
1.699152477840341346e-01,3.447394942433960807e+01,-9.657035696741714048e+01
1.716233440307134706e-01,3.511184599098773873e+01,-9.846999291103912810e+01
1.733486111483180103e-01,3.516550229543205575e+01,-9.911793057748529634e+01
1.750912217493740264e-01,3.431842065730211999e+01,-1.011102400244947432e+02
1.768513501816188771e-01,3.543094921599832503e+01,-9.900563055609056562e+01
1.786291725454443313e-01,3.421041661180529303e+01,-1.000672619934738208e+02
1.804248667115153915e-01,3.448132808405321015e+01,-9.522726243343443286e+01
1.822386123385662804e-01,3.409720666257788935e+01,-1.002115958080989486e+02
1.840705908913751465e-01,3.496139589580056395e+01,-9.899088951402369219e+01
1.859209856589196797e-01,3.492314905894345856e+01,-9.917647855431198423e+01
1.877899817727149701e-01,3.470735200405883347e+01,-9.815483909592161638e+01
1.896777662253360253e-01,3.450018330806188516e+01,-9.735374039912028366e+01
1.915845278891262771e-01,3.458880135880227868e+01,-9.870127013542816030e+01
1.935104575350941880e-01,3.348180216399831011e+01,-9.772350965173366433e+01
1.954557478519997615e-01,3.403014834419982293e+01,-9.972277568462624231e+01
1.974205934656332595e-01,3.442310187690839030e+01,-9.831447515399459292e+01
1.994051909582871263e-01,3.401223312416743028e+01,-1.010750176690998785e+02
2.014097388884242834e-01,3.318460674923314713e+01,-1.003041846986983074e+02
2.034344378105436835e-01,3.412171693764727820e+01,-1.022193050574296365e+02
2.054794902952457869e-01,3.286301504814063179e+01,-1.000876104434685203e+02
2.075451009494996835e-01,3.376750872924456814e+01,-1.001091081861114276e+02
2.096314764371140227e-01,3.383841025045984452e+01,-9.899406407250452844e+01
2.117388254994135854e-01,3.326453177227595148e+01,-1.002072727343270060e+02
2.138673589761238836e-01,3.350848556933514999e+01,-1.006763063146738375e+02
2.160172898264655361e-01,3.333695260228251556e+01,-9.802251694760404632e+01
2.181888331504608647e-01,3.347335555246045402e+01,-9.953493712788633729e+01
2.203822062104545121e-01,3.309622264649507883e+01,-9.930073162798296948e+01
2.225976284528505822e-01,3.330547693616127702e+01,-1.029244116929488371e+02
2.248353215300681329e-01,3.329501343087896004e+01,-9.853764610446462768e+01
2.270955093227174648e-01,3.322757567667238021e+01,-1.020818758122491943e+02
2.293784179619991481e-01,3.306155852088001978e+01,-9.640469157001111000e+01
2.316842758523288692e-01,3.224813279810999944e+01,-1.000688872516704748e+02
2.340133136941885406e-01,3.214383053436489490e+01,-1.028007329830581824e+02
2.363657645072085589e-01,3.288999632691572828e+01,-1.037724629158964120e+02
2.387418636534806016e-01,3.290662608450745807e+01,-9.684702710438453721e+01
2.411418488611063726e-01,3.126262988606101700e+01,-1.007753843751449665e+02
2.435659602479813557e-01,3.179250865222582689e+01,-1.032294035372008381e+02
2.460144403458194573e-01,3.245291647951639646e+01,-1.016156389667109607e+02
2.484875341244172919e-01,3.123439857045415735e+01,-1.006938414965183881e+02
2.509854890161642982e-01,3.213830137837437206e+01,-1.018708503315701250e+02
2.535085549407973815e-01,3.153507480407670727e+01,-1.066167805159777231e+02
2.560569843304061344e-01,3.206110776300356235e+01,-1.035973201802574835e+02
2.586310321546878566e-01,3.193215585222677078e+01,-1.012765661476316410e+02
2.612309559464580655e-01,3.150871458207577547e+01,-1.046814061273404519e+02
2.638570158274154975e-01,3.140338374772538188e+01,-1.009496592822063690e+02
2.665094745341683447e-01,3.128489886559129474e+01,-1.001059222445701948e+02
2.691885974445200058e-01,3.131979764091246210e+01,-1.052702175665827440e+02
2.718946526040210143e-01,3.160435315611538698e+01,-1.014404531023188127e+02
2.746279107527858088e-01,3.055959083132739451e+01,-1.035908857710486188e+02
2.773886453525814533e-01,3.025787071688832341e+01,-1.021141276371197222e+02
2.801771326141861973e-01,3.048456223915080798e+01,-9.959429826974994171e+01
2.829936515250255358e-01,2.993120503885363348e+01,-1.037772046841196953e+02
2.858384838770835490e-01,3.093856057720531183e+01,-1.057484301233078128e+02
2.887119142950971828e-01,3.018816522527256652e+01,-1.030065719966226254e+02
2.916142302650320817e-01,3.144114047435102322e+01,-1.025095480095985465e+02
2.945457221628463573e-01,2.991688523183412585e+01,-1.034712932161886556e+02
2.975066832835414621e-01,3.067286820570675943e+01,-1.013507906307448394e+02
3.004974098705076035e-01,3.003772763481393682e+01,-1.046009931566794791e+02
3.035182011451615369e-01,3.018651850806024939e+01,-1.027065206639637438e+02
3.065693593368846726e-01,3.004508042229253917e+01,-1.092573897189811589e+02
3.096511897132602775e-01,3.074814544970755747e+01,-1.022349277321121974e+02
3.127640006106158777e-01,3.033711065992169509e+01,-1.065259456719939521e+02
3.159081034648719144e-01,2.967698383291169506e+01,-1.030573618227976311e+02
3.190838128427011533e-01,2.995054425999471803e+01,-1.025216972247657168e+02
3.222914464730007311e-01,2.952812613299505529e+01,-1.042263177775725183e+02
3.255313252786809497e-01,3.035227460666102317e+01,-1.070465314206351621e+02
3.288037734087734254e-01,2.916614622013731406e+01,-1.060251350189438142e+02
3.321091182708624245e-01,2.872481303032322586e+01,-1.083123273204547701e+02
3.354476905638414386e-01,2.874209791868431196e+01,-1.052173694539005027e+02
3.388198243109999952e-01,3.017744314875213973e+01,-1.015239411286719360e+02
3.422258568934423151e-01,2.979823032062758514e+01,-1.052924984852962780e+02
3.456661290838421441e-01,2.954935657652698922e+01,-1.007220927770684398e+02
3.491409850805372583e-01,2.790886276317470660e+01,-1.044922048952613522e+02
3.526507725419661954e-01,2.893037146535474591e+01,-1.061680232751273394e+02
3.561958426214514306e-01,2.834151809660539811e+01,-1.053086398052627572e+02
3.597765500023322738e-01,2.806737794945163955e+01,-1.056738704989826658e+02
3.633932529334507056e-01,2.952357122009046719e+01,-1.048177928240038312e+02
3.670463132649940952e-01,2.873223671586470118e+01,-1.100452478512625873e+02
3.707360964846984075e-01,2.894419282845806052e+01,-1.055604727799048135e+02
3.744629717544148417e-01,2.740402184262826424e+01,-1.051664412944907667e+02
3.782273119470447864e-01,2.820041481305010578e+01,-1.082876357330239188e+02
3.820294936838451449e-01,2.777608168272638522e+01,-1.103066350313560093e+02
3.858698973721096381e-01,2.721579657273403896e+01,-1.094675159162304254e+02
3.897489072432283042e-01,2.821130943518553025e+01,-1.063930716404957337e+02
3.936669113911296924e-01,2.705785498888333862e+01,-1.057949106996356221e+02
3.976243018111095262e-01,2.744686814486649595e+01,-1.081013407306137992e+02
4.016214744390499414e-01,2.785999822553887384e+01,-1.051884766869252985e+02
4.056588291910324662e-01,2.704220465459403044e+01,-1.110208552806476661e+02
4.097367700033499038e-01,2.676975198489175156e+01,-1.096687602242233055e+02
4.138557048729196164e-01,2.659139119781194083e+01,-1.074866709511188105e+02
4.180160458981039273e-01,2.650698221296258339e+01,-1.099218363228046655e+02
4.222182093199400299e-01,2.667705621291774065e+01,-1.081891338568900807e+02
4.264626155637852301e-01,2.697912499876032300e+01,-1.069617239577113423e+02
4.307496892813801326e-01,2.743485449698166789e+01,-1.066036463566195636e+02
4.350798593933349334e-01,2.666534420768623903e+01,-1.104415414706409990e+02
4.394535591320429258e-01,2.687570170856509222e+01,-1.063310163636758290e+02
4.438712260850252167e-01,2.595904138524725724e+01,-1.095111788032376978e+02
