w,mag_db,phase_deg
1.000000000000000056e-01,3.996830860719823875e+01,-9.471037535293930887e+01
1.099771698954794263e-01,3.913566932166213519e+01,-9.517656025569920075e+01
1.209497789821914610e-01,3.830167302950644626e+01,-9.568802541200598455e+01
1.330171439194515748e-01,3.746604603090108299e+01,-9.624889100138238973e+01
1.462884903584096841e-01,3.662846205228450458e+01,-9.686356250847414628e+01
1.608839415790002669e-01,3.578853333652232749e+01,-9.753672087762583942e+01
1.769356057648809877e-01,3.494580076552854564e+01,-9.827330088715834222e+01
1.945887717576389175e-01,3.409972317476159276e+01,-9.907845403423226571e+01
2.140032241134252333e-01,3.324966618231127313e+01,-9.995749155876997349e+01
2.353546893650252658e-01,3.239489108796774275e+01,-1.009158026704415363e+02
2.588364265799517061e-01,3.153454471535621906e+01,-1.019587427420313901e+02
2.846609766112213613e-01,3.066765148455020906e+01,-1.030914864498197971e+02
3.130620858738538681e-01,2.979310951424083953e+01,-1.043188419381127261e+02
3.442968220598199847e-01,2.890969314064775375e+01,-1.056450245322218251e+02
3.786479009414647767e-01,2.801606484784488771e+01,-1.070733928727237725e+02
4.164262453240613615e-01,2.711080012097635716e+01,-1.086061571309980422e+02
4.579737993094089576e-01,2.619242898272132436e+01,-1.102440785320954149e+02
5.036666233432907092e-01,2.525949770806178307e+01,-1.119861916074943906e+02
5.539182980610751761e-01,2.431065314241249098e+01,-1.138295944140137408e+02
6.091836677407770351e-01,2.334474990578760156e+01,-1.157693651478031001e+02
6.699629572467872274e-01,2.236097742266516164e+01,-1.177986725487851345e+02
7.368062997280774296e-01,2.135899933557849550e+01,-1.199091476142175310e+02
8.103187160525430199e-01,2.033909302567909450e+01,-1.220915708783969791e+02
8.911655910479727716e-01,1.930227271468926986e+01,-1.243369001989333782e+02
9.800786961168824751e-01,1.825037729376511919e+01,-1.266376198409692080e+02
1.077862812737863329e+00,1.718610487236458084e+01,-1.289893390872762780e+02
1.185403016804913223e+00,1.611298075004991404e+01,-1.313925188145499305e+02
1.303672689737678692e+00,1.503525378933700019e+01,-1.338541708720696590e+02
1.433742328873773397e+00,1.395772661317680274e+01,-1.363893693077720570e+02
1.576789236888913148e+00,1.288553544520407534e+01,-1.390224405135115546e+02
1.734108177946953600e+00,1.182390326481837839e+01,-1.417877594878221146e+02
1.907123097032123793e+00,1.077789311654593085e+01,-1.447301625471006048e+02
2.097400008538947702e+00,9.752185535154630713e+00,-1.479050788652968436e+02
2.306661170778678827e+00,8.750894696255425487e+00,-1.513785684933113487e+02
2.536800674700322222e+00,7.777422363969770380e+00,-1.552275189490291041e+02
2.789901587924842108e+00,6.834327381951923464e+00,-1.595402853425082697e+02
3.068254809268781802e+00,5.923160887290450205e+00,-1.644180507146519687e+02
3.374379804415746253e+00,5.044181214290835769e+00,-1.699771155712268751e+02
3.711047410421053794e+00,4.195812766492961643e+00,-1.763521481652351213e+02
4.081304915460552074e+00,3.373645009637546544e+00,-1.837000115485076606e+02
4.488503640828604091e+00,2.568687186242537113e+00,-1.922028478023009654e+02
4.936329274838853642e+00,1.764553356042769749e+00,-2.020671354860894553e+02
5.428835233189814424e+00,9.334344573403817735e-01,-2.135118591016934317e+02
5.970479347750808685e+00,3.156697398908846902e-02,-2.267342475832842297e+02
6.566164215850418984e+00,-1.002935295341041311e+00,-2.418410226893499555e+02
7.221281575281989440e+00,-2.243975870671719441e+00,-2.587513706400533806e+02
7.941761106678827176e+00,-3.757669177190157583e+00,-2.771270086946380502e+02
8.734124104985280468e+00,-5.574398046007987162e+00,-2.964234714285797736e+02
9.605542505821684784e+00,-7.673312247740845748e+00,-3.160851977075520836e+02
1.056390380101000659e+01,-9.994048466958501464e+00,-3.357542512019485912e+02
1.161788243083178251e+01,-1.246432001302924242e+01,-3.553460638633615076e+02
1.277701829921292465e+01,-1.502176052863302047e+01,-3.749922007569519451e+02
1.405180312250189445e+01,-1.762189057672937764e+01,-3.949425780752453647e+02
1.545377539341219197e+01,-2.023673227561775434e+01,-4.154914229678493598e+02
1.699562481967873850e+01,-2.285031947412496578e+01,-4.369388617438825690e+02
1.869130718273635594e+01,-2.545442635461940384e+01,-4.595772398768932021e+02
2.055617065604391058e+01,-2.804545896580725639e+01,-4.836901098570423301e+02
2.260709472640209938e+01,-3.062244370257432280e+01,-5.095564078067750415e+02
2.486264297568720849e+01,-3.318580362727236377e+01,-5.374561737239125705e+02
2.734323110587800443e+01,-3.573664190069041524e+01,-5.676763280115695807e+02
3.007131172822503018e+01,-3.827633477877081702e+01,-6.005160338995848406e+02
3.307157758914927115e+01,-4.080630829555894934e+01,-6.362915976010724535e+02
3.637118507233399356e+01,-4.332792200294575480e+01,-6.753410081833804952e+02
3.999999999999999289e+01,-4.584241413957781219e+01,-7.180282562145849852e+02
